DATE,BOGZ1FL192090005Q
1987-10-01,17416833.0
1988-01-01,17905198.0
1988-04-01,18317489.0
1988-07-01,18620940.0
1988-10-01,19105872.0
1989-01-01,19519283.0
1989-04-01,19894281.0
1989-07-01,20423781.0
1989-10-01,20804614.0
1990-01-01,20906662.0
1990-04-01,21165246.0
1990-07-01,21018287.0
1990-10-01,21483132.0
1991-01-01,22007152.0
1991-04-01,22057066.0
1991-07-01,22359227.0
1991-10-01,22962129.0
1992-01-01,23024524.0
1992-04-01,23121045.0
1992-07-01,23469902.0
1992-10-01,24083415.0
1993-01-01,24422026.0
1993-04-01,24690900.0
1993-07-01,25091025.0
1993-10-01,25539944.0
1994-01-01,25703786.0
1994-04-01,25880628.0
1994-07-01,26230373.0
1994-10-01,26438808.0
1995-01-01,26969212.0
1995-04-01,27508225.0
1995-07-01,27905501.0
1995-10-01,28589961.0
1996-01-01,29154913.0
1996-04-01,29555663.0
1996-07-01,29835255.0
1996-10-01,30525466.0
1997-01-01,30772729.0
1997-04-01,32053005.0
1997-07-01,33004101.0
1997-10-01,33551082.0
1998-01-01,35162767.0
1998-04-01,35814663.0
1998-07-01,35191230.0
1998-10-01,37215782.0
1999-01-01,37520549.0
1999-04-01,38560640.0
1999-07-01,38469398.0
1999-10-01,40995087.0
2000-01-01,42118666.0
2000-04-01,41987296.0
2000-07-01,42584814.0
2000-10-01,42091168.0
2001-01-01,41994416.0
2001-04-01,43198401.0
2001-07-01,42164052.0
2001-10-01,43746475.0
2002-01-01,44391512.0
2002-04-01,43759840.0
2002-07-01,42660310.0
2002-10-01,43550562.0
2003-01-01,43717715.0
2003-04-01,45531292.0
2003-07-01,46381205.0
2003-10-01,48249658.0
2004-01-01,50690855.0
2004-04-01,51354965.0
2004-07-01,52541696.0
2004-10-01,54708520.0
2005-01-01,55567501.0
2005-04-01,56983490.0
2005-07-01,58543486.0
2005-10-01,59956641.0
2006-01-01,61640711.0
2006-04-01,61738378.0
2006-07-01,62751041.0
2006-10-01,64122749.0
2007-01-01,65105400.0
2007-04-01,65646002.0
2007-07-01,66444087.0
2007-10-01,65757345.0
2008-01-01,63929370.0
2008-04-01,62782002.0
2008-07-01,60434077.0
2008-10-01,57567456.0
2009-01-01,55791956.0
2009-04-01,56348968.0
2009-07-01,58086671.0
2009-10-01,58296194.0
2010-01-01,59496697.0
2010-04-01,58773113.0
2010-07-01,60779596.0
2010-10-01,62373845.0
2011-01-01,63464501.0
2011-04-01,63832666.0
2011-07-01,61982149.0
2011-10-01,63285393.0
2012-01-01,65209139.0
2012-04-01,65220363.0
2012-07-01,67035017.0
2012-10-01,67910565.0
2013-01-01,70625464.0
2013-04-01,71567745.0
2013-07-01,73895593.0
2013-10-01,75965227.0
2014-01-01,77696906.0
2014-04-01,79686076.0
2014-07-01,80248129.0
2014-10-01,81733470.0
2015-01-01,83478589.0
2015-04-01,84082852.0
2015-07-01,83084022.0
2015-10-01,84626294.0
2016-01-01,85864020.0
2016-04-01,87306996.0
2016-07-01,88797843.0
2016-10-01,89281933.0
2017-01-01,91661922.0
2017-04-01,93437298.0
2017-07-01,95057008.0
2017-10-01,97471787.0
2018-01-01,98590126.0
2018-04-01,99796195.0
2018-07-01,101767664.0
2018-10-01,98097927.0
2019-01-01,104105864.0
2019-04-01,106066004.0
2019-07-01,106675718.0
2019-10-01,110046191.0
2020-01-01,104153690.0
2020-04-01,111871044.0
2020-07-01,116001041.0
2020-10-01,124144947.0
2021-01-01,129081138.0
2021-04-01,135535565.0
2021-07-01,138652090.0
2021-10-01,142280264.0
2022-01-01,144445115.0
2022-04-01,139044812.0
2022-07-01,136243387.0
2022-10-01,137638929.0
2023-01-01,140582462.0
2023-04-01,145954794.0
