,record_date,MORTGAGE30US
266,06-1993,7.4175
267,07-1993,7.206
268,08-1993,7.1125
269,09-1993,6.915
270,10-1993,6.8340000000000005
271,11-1993,7.155
272,12-1993,7.172
273,01-1994,7.0600000000000005
274,02-1994,7.1525
275,03-1994,7.675
276,04-1994,8.315999999999999
277,05-1994,8.5975
278,06-1994,8.3975
279,07-1994,8.614
280,08-1994,8.5125
281,09-1994,8.64
282,10-1994,8.925
283,11-1994,9.17
284,12-1994,9.198
285,01-1995,9.1475
286,02-1995,8.8275
287,03-1995,8.462
288,04-1995,8.32
289,05-1995,7.955
290,06-1995,7.566
291,07-1995,7.6075
292,08-1995,7.86
293,09-1995,7.636
294,10-1995,7.475
295,11-1995,7.3774999999999995
296,12-1995,7.2
297,01-1996,7.029999999999999
298,02-1996,7.075
299,03-1996,7.624
300,04-1996,7.925000000000001
301,05-1996,8.07
302,06-1996,8.32
303,07-1996,8.245000000000001
304,08-1996,8.001999999999999
305,09-1996,8.23
306,10-1996,7.915
307,11-1996,7.618
308,12-1996,7.5975
309,01-1997,7.824
310,02-1997,7.65
311,03-1997,7.8975
312,04-1997,8.1425
313,05-1997,7.944
314,06-1997,7.6899999999999995
315,07-1997,7.4975
316,08-1997,7.4799999999999995
317,09-1997,7.43
318,10-1997,7.294
319,11-1997,7.205
320,12-1997,7.095000000000001
321,01-1998,6.994
322,02-1998,7.0425
323,03-1998,7.1275
324,04-1998,7.140000000000001
325,05-1998,7.144
326,06-1998,6.9975000000000005
327,07-1998,6.952
328,08-1998,6.9225
329,09-1998,6.7225
330,10-1998,6.709999999999999
331,11-1998,6.865
332,12-1998,6.7379999999999995
333,01-1999,6.785
334,02-1999,6.8075
335,03-1999,7.04
336,04-1999,6.9159999999999995
337,05-1999,7.145
338,06-1999,7.55
339,07-1999,7.632
340,08-1999,7.9425
341,09-1999,7.8225
342,10-1999,7.851999999999999
343,11-1999,7.7375
344,12-1999,7.912000000000001
345,01-2000,8.21
346,02-2000,8.325
347,03-2000,8.24
348,04-2000,8.1525
349,05-2000,8.515
350,06-2000,8.288
351,07-2000,8.1475
352,08-2000,8.0275
353,09-2000,7.912000000000001
354,10-2000,7.795
355,11-2000,7.745
356,12-2000,7.382
357,01-2001,7.0325
358,02-2001,7.05
359,03-2001,6.952
360,04-2001,7.0775
361,05-2001,7.145
362,06-2001,7.159999999999999
363,07-2001,7.1275
364,08-2001,6.95
365,09-2001,6.8175
366,10-2001,6.6175
367,11-2001,6.6579999999999995
368,12-2001,7.0649999999999995
369,01-2002,6.9975
370,02-2002,6.8925
371,03-2002,7.014
372,04-2002,6.985
373,05-2002,6.806
374,06-2002,6.65
375,07-2002,6.485
376,08-2002,6.29
377,09-2002,6.0925
378,10-2002,6.1125
379,11-2002,6.068
380,12-2002,6.0475
381,01-2003,5.9159999999999995
382,02-2003,5.8425
383,03-2003,5.745
384,04-2003,5.8125
385,05-2003,5.484
386,06-2003,5.23
387,07-2003,5.6325
388,08-2003,6.264
389,09-2003,6.1475
390,10-2003,5.952
391,11-2003,5.9325
392,12-2003,5.8759999999999994
393,01-2004,5.7125
394,02-2004,5.635
395,03-2004,5.445
396,04-2004,5.83
397,05-2004,6.27
398,06-2004,6.2875
399,07-2004,6.056
400,08-2004,5.8675
401,09-2004,5.754
402,10-2004,5.7225
403,11-2004,5.73
404,12-2004,5.752
405,01-2005,5.71
406,02-2005,5.6275
407,03-2005,5.928
408,04-2005,5.855
409,05-2005,5.72
410,06-2005,5.582
411,07-2005,5.695
412,08-2005,5.82
413,09-2005,5.774
414,10-2005,6.065
415,11-2005,6.33
416,12-2005,6.272
417,01-2006,6.145
418,02-2006,6.2525
419,03-2006,6.324
420,04-2006,6.5075
421,05-2006,6.5975
422,06-2006,6.6819999999999995
423,07-2006,6.7625
424,08-2006,6.523999999999999
425,09-2006,6.4025
426,10-2006,6.3575
427,11-2006,6.24
428,12-2006,6.135
429,01-2007,6.2175
430,02-2007,6.285
431,03-2007,6.156000000000001
432,04-2007,6.18
433,05-2007,6.2620000000000005
434,06-2007,6.657500000000001
435,07-2007,6.695
436,08-2007,6.572
437,09-2007,6.3825
438,10-2007,6.375
439,11-2007,6.208
440,12-2007,6.095
441,01-2008,5.758
442,02-2008,5.9175
443,03-2008,5.97
444,04-2008,5.9175
445,05-2008,6.036
446,06-2008,6.32
447,07-2008,6.425999999999999
448,08-2008,6.4775
449,09-2008,6.0375
450,10-2008,6.2
451,11-2008,6.0875
452,12-2008,5.286
453,01-2009,5.047499999999999
454,02-2009,5.13
455,03-2009,5.0025
456,04-2009,4.8100000000000005
457,05-2009,4.8575
458,06-2009,5.42
459,07-2009,5.2219999999999995
460,08-2009,5.1925
461,09-2009,5.0575
462,10-2009,4.952
463,11-2009,4.875
464,12-2009,4.93
465,01-2010,5.03
466,02-2010,4.99
467,03-2010,4.9675
468,04-2010,5.098000000000001
469,05-2010,4.8875
470,06-2010,4.7375
471,07-2010,4.564
472,08-2010,4.4275
473,09-2010,4.346
474,10-2010,4.225
475,11-2010,4.3
476,12-2010,4.714
477,01-2011,4.755
478,02-2011,4.9525
479,03-2011,4.836
480,04-2011,4.84
481,05-2011,4.6375
482,06-2011,4.51
483,07-2011,4.545
484,08-2011,4.27
485,09-2011,4.106
486,10-2011,4.0675
487,11-2011,3.9925
488,12-2011,3.9579999999999997
489,01-2012,3.915
490,02-2012,3.89
491,03-2012,3.9539999999999997
492,04-2012,3.91
493,05-2012,3.7979999999999996
494,06-2012,3.675
495,07-2012,3.55
496,08-2012,3.6019999999999994
497,09-2012,3.4975
498,10-2012,3.3825000000000003
499,11-2012,3.3519999999999994
500,12-2012,3.3449999999999998
501,01-2013,3.414
502,02-2013,3.5324999999999998
503,03-2013,3.565
504,04-2013,3.4450000000000003
505,05-2013,3.536
506,06-2013,4.07
507,07-2013,4.37
508,08-2013,4.456
509,09-2013,4.49
510,10-2013,4.192
511,11-2013,4.255
512,12-2013,4.4575
513,01-2014,4.432
514,02-2014,4.3025
515,03-2014,4.3425
516,04-2014,4.3375
517,05-2014,4.192
518,06-2014,4.1625
519,07-2014,4.13
520,08-2014,4.115
521,09-2014,4.1625
522,10-2014,4.036
523,11-2014,3.9975
524,12-2014,3.864
525,01-2015,3.67
526,02-2015,3.71
527,03-2015,3.77
